जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
ये महाराष्ट्र से हैं।	Ye Maharashtra se hain.
वॉरहेड पर एक टन तक का परमाणु हथियार ले जाने में सक्षम।	Warhead par ek ton tak ka parmanu hathiyar le jane men saksham.
आदरणीय भारत के राष्ट्रिय नागरिक महोदय व् नागरिक बन्धुओं हमारे भरत के नागरिकों पर राज करने वाले राष्ट्रिय नागरिकों से विनम्र अपील हमारे देश का कोई भी प्रधानमंत्री अगर किसी राज्य में बीस करोड़ की मदद देने की घोषणा करते है यह तो अच्चा है परन्तु मान लो की किसी राज्य की जनता पेड़ के पत्तों के पत्तल दोने का व्यापर करने में सक्षम है तो प्रधानमन्त्री जी को यह घोषणा करने की करपा करनी चाहिए की केन्द्र सर्कार दस करोड़ नगद देगे और दस करोड़ के सालाना राज्य की जनता से पेड़ के पत्तों के पत्तल दोने खरीदेंगे फिर देश की जनता को भोज के लिए हर गैस सरेण्डर के साथ मुफ्त देंगे जो देश की जनता जल पानी बर्बादी से जानलेवा मलेरिया व जल पानी बर्बादी से स्टील के बर्तन व् स्टील के ठीकरे धोनें पर चमड़ी कटने की बीमारी न हो जो जितना आमिर आदमी उतना बरबाद क्यों उसका इलाज ही नहीं होता स्टील के बर्तन को धोने वाले की परेशानी दूर बर्तन धोने वाले को रोज लगभग दोनों समय 150 ठकरे धोने से निजात मिलेगी स्टील के बरतन को धोने से जो जल बहता है जल बहने से मलेरिया के मछरों का आतंक मिट सकता है मलेरिया की बिमारियों पर परिवार बरबाद होने में कमी आएगी दवाइयों में शासनात्मक कमीशन बाजी व घोटाले बाजी जो देश को बरबाद करने में तुली हुई ह उसमें कमी आ सकती है यह योजना हर परिवार के पास पहुचती है तो हर परिवार ६ सदस्य ४० हजार रूपये की बचत व सरकार को मलेरिया के लिए परेशानी में कमी आएगी मानव व जानवरों को एलरजी नमक बिमारियों से छुटकारा पाने में मदद मिलेगी और किसी राज्य का मुख्यमंत्री जो अपने राज्य को मेहनतकस व महत्वाकान्सी आत्म शक्तिशाली बनाना चाहता है तो अपनी राज्य की जनता को पेड़ के पत्तों के पत्तल दोने का व्यापर करवाने व पेड़ के पत्तों के पत्तल दोने में खाने का प्रचार होना चाहिए सरकारें जनता नो पेड़ के पत्तों के पत्तल दोने का व्यापर का अनुदान देगी तो उस राज्य में हरियाली की कमी कभी नहीं आएगी== महुआ ==	Adarniy Bharat ke rashtriy nagarik mahoday v nagarik bandhuon hamare Bharat ke nagarikon par raj karne wale rashtriy nagarikon se vinamr appeal Hamare desh ka koi bhi Pradhanmantri agar kisi rajya men bees crore ki madad dene ki ghoshana karte hain to yah achha hai parant maan lo ki kisi rajya ki janta ped ke patton ke pattal done ka vyapar karne men sakshan hai to pradhanmantri ji ko yah ghoshana karne ki karpa karni chahiye ki kendra sarkar das crore nagad denge aur das crore ke salana rajya ki janta se ped ke patto ke pattal done kharidenge fir desh ki janta ko bhoj je liye har gas surrender ke saath muft denge jo desh ki janta jal pani barbadi se janleva malaria v jal pani barbadi se steel ke bartan va steel ke thikare dhhone par chamdi katne ki bimari n ho ji jitna amirr admi utna barbad kyon uska ilaj hi nahi hota steel ke bartan ko dhone wale ki pareshani dur bartan dhone wale ko roj lagbhag dono samay 150 thakre dhone se nijaat milegi steel ke bartan ko dhone se jo jal bahata hai jal bahane se malaria ke machharon ka atank mit sakta hai malaria ke bimariyon par parivar barbad hone men kami ayegi davaiyon men shasanatmak commission baji va ghotale baji jo desh ko barbad karne men tuli hui hai usmen kami aa sakti hai yah yojana har parivar ke pas pahunchti hai to har parivar 6 sadasya 40 hajar rupaye ki bachat v sarkar ko malaria ke liye pareshani men kami ayegi manav va janvaron ko allergy namak bimariyon se chhutkara pane men madad milegi aur kisi rajya ka mukhyamantri jo apne rajya ko mehnatkas va mahattwakansi atm Shaktishali banana chahata hai to apni rajya ki janta ko ped ke patto ke pattal done ka vyapar karnave v ped ke patton ke patta dono men khane ka prachar hona chahiye Sarkaren janta no ped ke patton je patta done ka vyapar ka anudan degi to us rajya men haiyali ki kami kabhi nahi ayegi== mahua ==
दिव्या राणा	Divya Rana
जगदीप	Jagdeep
गुझिया (निशा मधुलिका)	Guziya (Nisha Madhulika)
महेश एलकुंचवार सरस्वती सम्मान से सम्मानित साहित्यकार हैं।	Mahesh Elkunchvar saraswati samman se sammanit sahityakar hain.
१९८५ में चेन्नई में पहले भारतीय एड्स के मामलों का निदान करने के बाद माइक्रोसिबोलॉजिस्ट ने भारत में एड्स अनुसंधान और रोकथाम का बीड़ा उठाया था।	1985 men Chennai men pahale Bharatiya Aids ke mamolom ka nidan karne ke baad Microbiologist ne Bharat men Aids Anusandhan aur rokhtham ka bida uthaya tha.
यह बांका जिला में अवस्थित है।	Yah Banka Zilla be avashit hai.
विभिन्न देशों की प्राचीन भाषाएँ जिनका अध्ययन और वर्गीकरण पर्याप्त सामग्री के अभाव में नहीं हो सका है, पहली अवस्था में है।	Vibhinna deshon ki prachin bhashayen jinka adhyayan aur vargikaran prayapt samagri ke abhav men nahi ho saka hai, pahali avastha men hain.
आठ साल तक यह समिति राष्ट्रभाषा प्रचार समिति, वर्धा से संबद्ध रही।	Aath saal tak yah samiti Rashtrabhasha prachar samiti, vardha se sambandh rahi.
1947 में दारा सिंह सिंगापुर आ गये।	1947 men Dara Singh Singapore aa gaye.
अकादमी यूरोपीय विज्ञान फाउंडेशन में पर्यवेक्षक का दर्जा प्राप्त है और ब्रिटिश रॉयल सोसायटी, ब्रिटिश अकादमी, स्वीडिश एकेडमी ऑफ साइंसेज और सिंगापुर के राष्ट्रीय अनुसंधान परिषद के साथ विनिमय कार्यक्रम चलाता है।	Academy Europiya Vigyan Foundation men paryavekshak ka darja prapt hai aur British Royal Society, British Academy, Swedish Academy of Sciences aur Singapore ke Rashtriy anusandhan parishad ke saath vinimay karyakram chalata hai.
अब इस ओर चेष्ठा और प्रयत्न होने लगे हैं कि यदि संभव हो तो सभ्य संसार ही नहीं, वरन् मनुष्य मात्र के सामूहिक विकास या विनाश का अध्ययन भूगोल के समान किया जाए।	Ab is or cheshta aur prayatna hone lage hain ki yadi sambhav ho to sabhya sansar hi Nahi, Varn manushya matra ke samuhik vikas ya vinash ka adhyayan bhugil ke saman kiya jaye.
1975 में उन्होंने फेयरवेल, माई लवली, कैपोन और डेथ रेस 2000 में सहयोगी कलाकार का किरदार निभाया.	1975 men unhone fairwell, My lovely, Capon aur Death race 2000 men Sahayogi kalakar ka kirdar nibhaya.
साहित्य अकादमी	Sahitya Academy
प्रादेशिक प्रतिनिधित्व प्रणाली के अंतर्गत संपूर्ण भूभाग को विभिन्न निर्वाचन क्षेत्रों में बांट दिया जाता है और प्रत्येक निर्वाचन क्षेत्र से एक व्यक्ति या प्रतिनिधि निर्वाचित होता है।	Pradeshik Pratinidhitwa pranali ke antargat Saampurn Bhubhag ko vibhinna Nirwachan Kshetron men baat diya jata hai aur pratyek nirvachan kshetra se ek vyakti ya pratinidhi nirvachit hota hai.
किंतु अधिकांश विद्वानों का यही मत है कि "वार' केवल "पौड़ी' छंद में ही रची जा सकती है।	Kintu adhikansh Vidwanon ka yahi mat hai ki "waar keval "paudi' chhand men hi rachi jaa sakti hai.
स्टोर्मर को भौतिकी में डैनियल सुई और रॉबर्ट लाफलिन साथ " क्वांटम फ्लूइड के आंशिक चार्ज्ड उत्तेजित प्रकार की खोज" के लिए १९९८ में नोबेल पुरस्कार मिला।	Stomer ki bhautiki men Daniel Sui aur Robert Laughlin saath " Quantum Fluid ke anshik charged uttejit prakar ki khoj" ke liye 1998 men Nobel Puraskar mila.
इससे बिस्मिल की आत्मा को अपार कष्ट हुआ।	Isse Bismil ki atma ko apaar kashat hua.
इसमें लोग खरीददारी करने के लिए आते हैं तथा यहाँ कई प्रकार की कीमती वस्तुएँ मिलती है।	Ismen Log kharidari karne ke liye ata hain tatha yahan kai prakar ki kimati vastuyen milti hai.
समस्याएं कंकालीय मांसपेशी, या मांसपेशी विकार मस्तिष्क और अन्य अंग प्रणालियों पर प्रभाव के साथ जुड़ सकता है।	Samasyan kankaliy maspeshi, ya maaspeshi vikar mastishq aur anya ang pranaliyon par prabhav ke saath jud sakta hai.
भारत की ऊर्जा नीति	Bharat ki urja niti
खराद	Kharad
1395 ग्रेगोरी कैलंडर का एक साधारण वर्ष है।	1395 Gregory Calendar ka ek sadharan varsh hai.
उनकी भौंक तेज और विशिष्ट होती है।	Unki Bhounk tez aur vishishta hoti hai.
जबकि कुछ इतिहासकारों के अनुसार वो यदु वंश के सम्बंधित हैं।	Jabki kuch itihaskaron ke anusar vo yadu vansh ke sambandhit hai.
दर्शकों ने उनके बजाये संगीत को स्वीकार किया, लेकिन उनके कुछ अन्य दर्शकों के विपरीत, वे ड्रग-मुक्त रहे - "हम उसके बाहर थे, एसिड पर नहीं, लेकिन लूप के बाहर, UFO के ड्रेसिंग रूम में अटके थे।"	Darshakon ne unke bajay sangit ko swikar kiya, lekin unke kuch anya darshakon ke viparit, ve drug-mukt rahe - "Hum iske bahar the, acid par nahi, lekin loop ke bahar, UFO ke dressing room men atake the."
लड़कियों ने कुत्ते का नाम बो रखा, क्योंकि इसी नाम से उनके एक चचेरे भाई एक बिल्ली है और क्योंकि श्रीमती ओबामा के पिता का उपनाम डिडली दिया गया था, जो कि स्वर्गीय संगीतकार बो डिडली के नाम पर दिया गया था।	ladkiyon ne kutte ka naam bo rakhaa, kyonki isi naam se unke chachere bhai ek billi hai aur kyon ki Shrimati Obama ke pita ka upnaam didli diya gaya tha, jo ki swargiya sangitkar Bo Didli ke naam par diya gaya tha.
थाईलैण्ड में बौद्ध धर्म	Thailand men Baudhha Dharma
प्रत्येक वर्ष देहरादून में श्री गुरू रामराय दरबार के आँगन में पवित्र मूर्ति को उठाया जाता है, जहाँ गुरू ने अपना डेरा स्थापित किया था।	Pratyek varsh Dehradun men Shri Guru Ramray Darbar ke angan men paitra murti ko uthaya jata hai, jahan guru ne apna dera sthapit kiya tha.
हार्ट ने लिखा,"बोहेमिया को कभी भी भौगोलिक तौर पर स्थापित करने की कोशिश नहीं की गयी, लेकिन किसी भी दिन जब आकाश साफ़ हो और सूरज अस्त हो रहा हो, यदि आप टेलीग्राफ पहाडी पर चढ़ेंगे, तो पश्चिम में आप इसकी मनोहर घाटी और बादलों से आच्छादित पहाड़ियों को देखेंगे....	Heart ne likha,"Bohemiya ko kabhi bhi bhaugolik taur par sthapit karne ki koshish nahi ki gayi, lekin kisi bhi din jab akash saaf ho aur suraj ast ho raha ho, yadi aap telegraph Pahadi par chadhenge, to paschin men aap iski manohar ghati aur badalon se achhadit ahadiyon ko dekhenge...
हिब्रू शब्द तुकी (बहुवचन तुक्कियिम) तमिल शब्द तेख से आया है लेकिन कभी कभी मिस्र के शब्द तेख से भी संकेत हुए हैं।	Hebrew shabd tuki (Bahuvachan Tukkiyim) tamil shabd tekh se aya hai lekin kabhi kabhi misr ke shabd tekh se bhi sanket huye hain.
लेकिन जो सत्य जाना चाहता वह खोज करता है फिर वहां जनता है की सभी प्रचीन धर्म इस्लाम इसाई यहूदी शिन्तो ताओ जैन बौध्द में विश्व की उत्पत्ति व अंत के कई कहानी है और भगवान के सभी मान्यता भिन्न है तो स्वयं की धर्म कथा का कई सालो तक चिंतन मनन व परिकल्पना होने पर ज्ञात होता है की वह चेतना की कहानी है और परमात्मा सबके लिए भिन्न स्वरूप में है ।	Lekin jo satya jana chahata vah khoj karta hai fir vahan janata hai ki sabhi prachin dharm Islam Isaai Yahudi Shinto Tao Jain Baudh men vishwa ki utpatti v ant ke kai kahaniyan ahai aur bhagwan ke sabhi Manyata bhinna hai to swayam ki dhram katha ka kai salon tak chintan manan v parkalpana hone par gyat hota hai ki vah chetana ki kahani hai aur parmatma sabke liye bhinn swarup men hain .
४ मई १९२९ के अभ्युदय में इलाहाबाद से यह समाचार छपा - ऐसेम्बली का बम केस: काकोरी केस से इसका सम्बन्ध है।	4 May 1929 ke abhuday men Allahabad se yah samachar chhapa - assembly ka bomb case: Kakori case se iska sambandh hai.
कंपनी का तकनीकी केंद्र वेस्टन, एफ़एल में है।	Company ka takniki kendra Western, FL men hai.
कायस्थेर वर्णपरिचय	Kaysther Varnaparichay
जब चन्द्रमा निरयण पद्धति से वॄष राशि में होता है तो जातक की वॄष राशि मानी जाती है, जन्म समय में जन्म लगन वॄष होने पर भी यही प्रभाव जातक पर होता है।	Jab chandrama niryan paddhati se vrish rashi men hota hai to jatak ki vrish rashi mani jati hai, janam ke samay janm lagan vrish hone par bhi yahi prabhav jatak par hota hai.
जयसिंहवर्मन् षष्ठ ने अन्नम की एक राजकुमारी से विवाह करन के लिये अपने राज्य के दो उत्तरी प्रांत अन्नम के नरेश का दे दिए।	Jaisinghvarman shashth ke Annam ki ek rajkumari se vivah karne ke liye apne rajya ke do uttari prant Annam ke naresh ka de diye.
IMF के अनुसार, 1980 के दशक के बाद से उभरते तथा विकासशील देशों की वास्तविक GDP वृद्धि, ऊर्ध्वमुखी और उन्नत अर्थ-व्यवस्थाओं की अधोमुखी रही है।	IMF ke anusar, 1980 ke dashak ke baad se ubharte tatha vikasshil deshon ki vastavik GDP vruddhi, urdhavmukhi aur unnat arth-vyavasthaon ko adhomukhi rahi hai.
जिसका निर्देशन श्रीराम राघवन और निर्माण दिनेश विजन एवं सुनील लुल्ला ने किया है।	Jiska Nirdeshan Shriram Raghavan aur nirman Dinesh Vijan evam Sunil Lulla ne kiya hai.
ए. बेरेडल कीथ: एक हिस्ट्री ऑव संस्कृत लिटरेचर;	A. Beredal Keith: A history of Sanskrit Literature;
संविधान के लेसोथो में आया बल के प्रकाशन के बाद प्रारंभ आदेश है ।	Sanvidhan ke Lesotho men aya bal ke prakashan ke baad prarambh adesh hai .
हर्षवर्धन की मृत्यु के बाद गहरवारों ने इस पर अधिकार कर लिया था।	Harshwardhan ki mrutyu ke baad Gaharwaron ne is par adhikar kar liya tha.
राजाराम द्वितीय जो रामराजा नाम से जाने जाते है।	Rajaram Dwitiy jo Ramraja naam se jane jate hain.
वह ब्रिटेन के स्कॉलैंड यार्ड में महानगरीय पुलिस में विशेष प्रशिक्षण भी हासिल कर चुकी हैं।	Vah vritain ke Scotland Yard men Mahanagaroy Police men vishesh prashikshan bhi hasil kar chuki hain.
नौजवान क्रांतिकारी टोली पर उनके पद, ज्ञान व विद्वता कि धाक भी थी।	Naujavan Krantikari toli par unke pad, gyan, aur vidwatta ki dhaak bhi thi.
यहाँ सभी धर्म, जाति, संप्रदाय, वर्ग के लोग एक साथ अपने-अपने पर्व को मनातें है।	Yahan sabhi Dharam, jaati, Sampraday, varg ke log ek saath apne-apne parv ko manate hain.
कुछ ऐसा खेलने की कोशिश करें जो पहले कभी नहीं खेला है।	Kuch aisa khelne ki koshish karen jo pahale kabhi nahi khela hai.
जगत् तो उसके एक अंश मात्र में है।	Jagat to uske ek ansh matra men hai.
इस संग्रहालय में लगभग बाहर हजार विभिन्न शैलियों के चित्र संकलित हैं।	Is Sangrahalay men lagbhag bahar hajar vibhinn shailiyon ke chitra sankalit hain.
'भक्तमाल' की रचना व्रजभाषा में हुई है।	Bhaktmal' ki rachana vajrabhasha men hui hai.
(मोहम्मद गोरी दिल्ली पर विजय प्राप्त की और वहां अपनी सल्तनत स्थापित जब सटीक एएच 587 = 1192 होने के लिए), के अंतिम दशक से तारीख, गुजरात और केरल.	(Mohammed Ghori Delhi par vijay Prapt ki aur vahan apni sultanat sthapit jab satik AH 587 = 1192 hone ke liye), ke antim dashak se tarikh, Gujarat aur Kerala.
ये राजस्थान से हैं।	Ye Rajasthan se hain,
चन्देलों के साथ दुर्गावती का भी नाम लिया जाता है।	Chandelon ke saath Durgavati ka bhi naam liya jata hai.
वे प्रसिद्ध नृत्य शो झलक दिखला जा के सीज़न ४ के विजेता रह चुके हैं।	Ve prasiddha nrutya shi jhalak dikhla jaa je season 4 ke vijeta rah chuke hain.
मीना	Meena
राम रूप सिंह,भारत के उत्तर प्रदेश की तीसरी विधानसभा सभा में विधायक रहे।	Ram Rup Singh, Bharat ke Uttar Pradesh ki tisri vidhansabha men vidhayak rahe.
शुरू में, बैंड के किसी भी सदस्य ने आगंतुक को नहीं पहचाना, लेकिन यह जल्दी ही स्पष्ट हो गया कि वह बैरेट थे।	Shuru men, band ke kisi bhi sadasya ne agantuk ko nahi pahchana, lekin yah jaldi hi spasht ho gaya ki vah Barett the.
नहीं तो गर्भ के विषय में अथवा स्वयं गर्भिणी के लिए डर बना रहता है।	Nahi to garbh ke vishay men athavan swayam garbhini ke liye dar bana rahta hai.
चौरंगा एक हिन्दी फ़िल्म है।	Chauranga ek Hindi film hai.
यह निर्णय विवादों में घिरा रहा क्योंकि फ़ेडरल बैंकिंग नीति ने उस समय सामन्यतया अमेरिकन एक्सप्रेस को बैंक के रूप में कार्य करने की अनुमति नहीं दी थी।	Yah nirnay vivadon men ghira raha kyonki federal Banking niti ne us samay sanmyataya American Express ko bank ke rup men karya karne ki anumati nahi di thi.
स्वाधीनता संग्राम के क्रान्तिकारी साहित्य का इतिहास (1 संस्करण).	Swadhinta sangram ke krantikari sahitya ka itihas (1 Sanskaran).
एक आध्यात्मिक स्वामी ही जो उस अनुक्रम को जानता है जिसमे हमारे कर्म को फल प्राप्त होगा, हमारी सहायता कर सकता है।	Ek adhyatmik swami hi jo us anukram ko janata hai jismen hamare karma ko fal prapt hoga, hamari sahayata kar sakta hai.
ग्रेनाइट के आधार पर सफ़ेद ईंट और टेरा कोटा लिए हुए यह गगनचुंबी त्रिपक्षीय रचना वाली बिल्डिंग अच्छी नींव और खुले ऊपरी भाग के कारण अत्यधिक लोकप्रिय हुई।	Granite ke adhar par safed int aur tera kotta liye huye ya ganganchumbiy tripakshiya rachna vali building achhin neev aur khule upari bhag ke karan atyadhik lokpriya hui.
सजा में शामिल था निर्वासन, आंतरिक निर्वासन और मजबूर श्रम शिविरों और जेलों पर नजर; असंतोष को तेजी से दबा दिया गया।	Saja men shamil tha nirvasan, antarik nirvasan, aur mabur shra, shibiron aur jailo par najar; asantosh ko teji se daba diya gaya.
खूब पिटाई हुई, उपन्यास व अन्य किताबें फाड़ डाली गयीं लेकिन रुपये चुराने की आदत नहीं छूटी।	Khub pitai hui, upanyas v anya kitabon fad dali gayin lekin rupaye churane ki adat nahi chhuti.
ओप कला - वसार्ली विक्टर, ब्रिज़ेट रिले, रिचर्ड एनुस्कीविच	Op kala - Varsali Victor, Bridget Riley, Richard Enskuvich
रेडियोधर्मिता के गुण के कारण प्लूटोनियम के समस्थानिक और यौगिक विषैले होते हैं।	Radiodharmiyata ke gun ke karan Plutonium ke samsthanik aur Yougik vishaile hote hain.
यूरोप में हुए पुर्नजागरण और ज्ञानोदय आंदोलनों के बाद मानवीय मूल्यों का महिमा मंडन हुआ।	Europe men huye punarjagaran aur Gyanoday Andolanon ke baad Manaviy mulyon ka mahima Madan hua.
इसकी रचना भारत के महान कवि एवं साहित्यकार सूर्यकांत त्रिपाठी 'निराला' ने की।	Iski rachana Bharat ke mahan kavi evam sahityakar Suryakant tipathi 'Nirala' ne ki.
मौरीज़ियो के जाने के एक साल के अन्दर ही, डौन मेलो भी अपनी पिछली कंपनी बर्ग्दौर्फ़ गुड्मन में फिर लौट आयीं और तब क्रिएटिव डायरेक्टर कि पदवी टॉम फोर्ड को मिली जो उस समय केवल 32 वर्ष के थे।	Maurijiyon ke jane ke ek saal ke andar hi, Dawn Melo bhi apni pichhli company Bagdorf Goodman men fir laut ayin aur tan creative director ki padvi Tom Ford ko mili jo us samay keval 32 varsh ke the.
दरबार साहिब का महन्त शहर के चारों ओर जलूस का नेतृत्व करता है।	Darbar Sahib ka Mahant shahar ke charon or julus ka netrutwa karta hai.
कांट ने इस युक्ति को माना नहीं, परंतु कहा कि जो अन्य युक्तियाँ दी जाती हैं, वे एन्सैल्म की युक्ति की रूपांतर ही हैं।	Kant ne is yukti ko mana nahi, parantu kaha ki jo anya Yuktiyan di jati hi, ve Enselm ki yukti ki rupantar hi hai.
वे शेख मुजीब के तानाशाही रवईये के विरोधी थे, और 1975 में शेख मुजीब ने विपक्ष को बर्खास्त कर बाकसाल नामक एकदलीय शासत स्थापित किया, तब अहमद उनके विचारों से पूर्णतः विरुद्ध थे।	Ve Shaikh Mujib ke Tanashashi ravaiye ke virodhi the, aur 1975 men Shaikh Mujib ne vipaksh ko barkhast kar Baksal namak ekdaliya shasat sthapit kiya, ab Ahmad unke vicharon se purnatah virudhha the.
इन दोनों भाईयों को ग्रेट ट्रिगोनोमैट्रिकल सर्वे के देहरादून स्थित कार्यालय में दो साल तक प्रशिक्षण भी दिया गया था।	In dono bhaiyon ko great Trignometrical Survey ke Dehradun sthit karyalayon men do saal tak parikshan bhi diya gaya tha.
सय्यद वहीद अशरफ़	Sayyad Wahid Ashraf
निवेश प्रबंधन उद्योग के अभ्यासकर्ताओं के लिए कनाडा में सीआईएम जैसे पदनाम आवश्यक हैं।	Nivesh Prabandhan Udyog ke Abhyaskartaon ke liye Caanada men CIM jaise padnaam avashak hain.
इसलिए ओझा, पुजारी, मौलवी, साधु, नकली वैद्य, नीम-हकीम, अप्रशिक्षित यौन-विशेषज्ञ इत्यादि अवैज्ञानिक रूप से मनोरोग चिकित्सकों का कार्य कर रहे हैं।	Isliye ozha, pujari, maulvi, sadhu, nakali-vaid, neem-hakim, aprashikshit yaun vishesgyan ityadi avaidgyanik rupse monorog chikitsakon ka karya pura kar rahe hain,
मानसा ऐतिहासिक दृष्टि से काफी महत्वपूर्ण है।	Mansa Eitihasik drushti se kafi mahattwapurn hai.
बांग्लादेश की स्वतंत्रता के बाद, उन्हें योजना व वित्त का प्रभार दिया गया था, साथ ही वे बांग्लादेशी संविधान के प्रलेखन समिति में भी शामिल थे।	Bangladesh ki swatantrata ke baad, unhe yojana va vitta ka prabhar diya gaya tha, sath hi ve bangladesh sanvidhan ke pralekhan samiti men bhi shamil the.
यह रंगहीन, स्वाधीन एवम गंधहीन क्र्यस्तालीय पदार्थ होता है जो की पानी और अल्कोहल में आराम से घुल जाता है।	Yah ranghin, swadhin evam gandhhin cristaliya padhartha hota hai jo ki pani aur alcohol men araam se ghul jata hai.
मध्य प्रदेश उच्च न्यायालय	Madhya Pradesh Uchch Nayalaya
पाकिस्तान में, स्वैच्छिक सैन्य सेवा के लिए 16-23 वर्ष आयु है; पाकिस्तान राष्ट्र के संविधान के मुताबिक सैनिकों को 18 साल उम्र से कम पर युद्ध के लिए तैनात नहीं किया जा सकता है।	Pakistan men, Swaichhik sainya seva ke liye 16-23 varsh Ayu hai; Pakistan rashtra ke sanvishan ke mutabik sainikon ko 18 saal umra se kam par yuddh ke liye tainat nahi kiya jaa sakta hai.
यह केवल http में ही खोले गए वेबसाइट द्वारा आपके कम्प्युटर में डाला जाता है।	yah keval http men hi khole gaye website dwara apke computer men dala jata hai.
संस्कृत, पालि तथा शौरसेनी प्राकृत विभिन्न युगों में इस मध्यदेश की भाषा थी।	Sankrit, Pali tatha Shaurseni prakrut vibhinna yogon men is madhyadesh ki bhasha thi.
सबसे आसान मार्ग को 3 कक्षा वर्गीकृत किया गया है।	Sabse asaan marg apko 3 kaksha vargikrut kiya gaya hai.
सन् 1904 ई में फ्रांस के पब्लिक स्कूलों में मंदबुद्धि बालकों के लिये विशेष कक्षाओं की व्यवस्था संबंधी संस्तुतियों का निर्धारण करने के लिये एक आयोग गठित किया गया था।	San 1904 E men France ke public schoolon men mandbudhhi balakon ke liye vishesh kakshaon ki vyvasatha sambandhi sanstutiyon k nirdharan karne ke liye ek ayog gathit kiya gaya tha.
इन बाधाओं का अर्थ यह है कि कई ज्ञात स्थलों के उत्खनन को जान-बूझकर छोड़ दिया गया है।	In bhadhaon ka arth yah hai ki kai gyat sthalon ke utkhann ko jaan-bujhkar chhod diya gaya hai.
राजकीय जालगृह	Rajakiya Jalgruh
यह शहतूत के पत्तों को खाता है।	Yah Shahtut ke patton ko khata hai.
इतिहास के इतिहास की भारतीय दृष्टि (हृदयनारायन दीक्षित)	Itihas ke itihas ki Bharatiy drushti (Hridaynaran Dikshit)
4.चुनाव केदौरान धन-बल और बाहु-बल का प्रयोग न करना।	4.Vhunav kedauran dhan-bal aur bahu-bal ka prayog n karna.
इनमें से कुछ इस प्रकार से हैं:	Inmen se kuchh is prakar se hain:
संयोग से फारसी शब्द "वार' (आक्रमण) और अंग्रेजी शब्द (war) (वार) में उच्चारण और रूपसाम्य ही नहीं, युद्धविषयक भावसाम्य भी है।	Sanyog se farsi shabd "var" (akraman) aur angreji Shabd (war) men uchharan aur rupsamya hi nahi, yuddhavishayak Bhavsamya bhi hai.
संस्तुति यह भी है कि हिन्दीभाषी राज्यों में दक्षिण की कोई भाषा पढ़ाई जानी चाहिए।	Sanstuti yah bhi hai ki Hindibhashi rajyon men dakshin ki koi bhasha padhai jani chahiye.
